,days_since,year,num_claims,sqrt_claims,topics,ncites,sqrt_ncites,xi
5420,126,2001,15,3.872983346207417,"coat, polym",1.0,1.0,-2.25101451154313
5468,217,2002,11,3.3166247903554,"coat, polym",0.0,0.0,4.729758490830959
5485,238,2002,12,3.4641016151377544,"coat, polym",7.0,2.6457513110645907,1.7256264055917527
5542,301,2002,14,3.7416573867739413,"coat, polym",0.0,0.0,1.8623592722938829
5575,336,2002,12,3.4641016151377544,"coat, polym",0.0,0.0,4.882031982185756
5578,343,2002,8,2.8284271247461903,"coat, polym",0.0,0.0,-2.558364780293658
5586,350,2002,9,3.0,"coat, polym",1.0,1.0,-4.338679782728801
5602,378,2002,6,2.449489742783178,"coat, polym",1.0,1.0,2.026400920382423
5614,392,2002,11,3.3166247903554,"coat, polym",0.0,0.0,0.24821495672097682
5638,420,2002,74,8.602325267042627,"coat, polym",43.0,6.557438524302,-0.712691150000071
5639,420,2002,10,3.1622776601683795,"coat, polym",1.0,1.0,-4.652273801305854
5644,427,2002,20,4.47213595499958,"coat, polym",2.0,1.4142135623730951,1.7027064469261484
5647,427,2002,3,1.7320508075688772,"coat, polym",0.0,0.0,2.7268875434444757
5648,427,2002,37,6.082762530298219,"coat, polym",27.0,5.196152422706632,2.542774235418615
5652,434,2002,10,3.1622776601683795,"coat, polym",6.0,2.449489742783178,2.5198695332103913
5682,455,2002,9,3.0,"coat, polym",6.0,2.449489742783178,3.2619156706371486
5699,476,2002,18,4.242640687119285,"coat, polym",3.0,1.7320508075688772,-1.1513537189384957
5722,504,2002,20,4.47213595499958,"coat, polym",4.0,2.0,-0.6056189264855124
5729,518,2003,11,3.3166247903554,"coat, polym",17.0,4.123105625617661,-3.9421662557505814
5732,518,2003,14,3.7416573867739413,"coat, polym",78.0,8.831760866327846,1.9402940238018824
5751,546,2003,20,4.47213595499958,"coat, polym",0.0,0.0,0.4719694090707018
5752,546,2003,18,4.242640687119285,"coat, polym",0.0,0.0,-0.6316359226102845
5784,595,2003,35,5.916079783099616,"coat, polym",0.0,0.0,2.124705028393889
5785,595,2003,8,2.8284271247461903,"coat, polym",0.0,0.0,-4.3941992552424525
5786,602,2003,12,3.4641016151377544,"coat, polym",1.0,1.0,-1.9304206638837955
5797,616,2003,12,3.4641016151377544,"coat, polym",19.0,4.358898943540674,2.779547258714924
5801,623,2003,20,4.47213595499958,"coat, polym",4.0,2.0,1.7118459231007737
5808,637,2003,21,4.58257569495584,"coat, polym",0.0,0.0,4.615432215894002
